 ID        Timestamp_RX        Timestamp_TX  Delay   Jitter
347 1739130260345990012 1739130260345957901  32111   1486.0
348 1739130260346991639 1739130260346957105  34534   2423.0
349 1739130260347992081 1739130260347959231  32850   1684.0
350 1739130260348988330 1739130260348956332  31998    852.0
351 1739130260349988830 1739130260349957343  31487    511.0
352 1739130260350987204 1739130260350955996  31208    279.0
353 1739130260351991793 1739130260351959652  32141    933.0
354 1739130260352990975 1739130260352958554  32421    280.0
355 1739130260353986811 1739130260353956098  30713   1708.0
356 1739130260354987946 1739130260354956873  31073    360.0
357 1739130260355993092 1739130260355956182  36910   5837.0
358 1739130260357004227 1739130260356968974  35253   1657.0
359 1739130260357996049 1739130260357958183  37866   2613.0
360 1739130260358989932 1739130260358956817  33115   4751.0
361 1739130260359990614 1739130260359957050  33564    449.0
362 1739130260360989974 1739130260360956116  33858    294.0
363 1739130260361990837 1739130260361956669  34168    310.0
364 1739130260362993408 1739130260362958765  34643    475.0
365 1739130260363989330 1739130260363956830  32500   2143.0
366 1739130260364990381 1739130260364956775  33606   1106.0
367 1739130260365994992 1739130260365960720  34272    666.0
368 1739130260366993306 1739130260366960075  33231   1041.0
369 1739130260367991135 1739130260367956828  34307   1076.0
370 1739130260368993545 1739130260368959848  33697    610.0
371 1739130260369992844 1739130260369960292  32552   1145.0
372 1739130260370993426 1739130260370960434  32992    440.0
373 1739130260371995197 1739130260371959882  35315   2323.0
374 1739130260372997501 1739130260372961593  35908    593.0
375 1739130260374003548 1739130260373964878  38670   2762.0
376 1739130260375001167 1739130260374964571  36596   2074.0
377 1739130260375998477 1739130260375964659  33818   2778.0
378 1739130260376997486 1739130260376963528  33958    140.0
379 1739130260377999408 1739130260377966156  33252    706.0
380 1739130260378992583 1739130260378960687  31896   1356.0
381 1739130260379991341 1739130260379959520  31821     75.0
382 1739130260380992597 1739130260380959900  32697    876.0
383 1739130260381991110 1739130260381957124  33986   1289.0
384 1739130260383002821 1739130260382968213  34608    622.0
385 1739130260383992152 1739130260383958635  33517   1091.0
386 1739130260384994714 1739130260384962921  31793   1724.0
387 1739130260385996386 1739130260385960360  36026   4233.0
388 1739130260386992416 1739130260386958415  34001   2025.0
389 1739130260387990022 1739130260387957942  32080   1921.0
390 1739130260388990107 1739130260388957852  32255    175.0
391 1739130260389990171 1739130260389958546  31625    630.0
392 1739130260390990982 1739130260390958542  32440    815.0
393 1739130260391989540 1739130260391958113  31427   1013.0
394 1739130260392992530 1739130260392960108  32422    995.0
395 1739130260393989525 1739130260393957441  32084    338.0
396 1739130260394987923 1739130260394957103  30820   1264.0
397 1739130260395983642 1739130260395928814  54828  24008.0
398 1739130260396995013 1739130260396960669  34344  20484.0
399 1739130260397992784 1739130260397958449  34335      9.0
400 1739130260398991979 1739130260398958052  33927    408.0
401 1739130260399990469 1739130260399956519  33950     23.0
402 1739130260400983622 1739130260400919977  63645  29695.0
403 1739130260401992077 1739130260401958141  33936  29709.0
404 1739130260402990075 1739130260402957819  32256   1680.0
405 1739130260403985192 1739130260403927785  57407  25151.0
406 1739130260404993756 1739130260404960045  33711  23696.0
407 1739130260405994007 1739130260405960789  33218    493.0
408 1739130260406995014 1739130260406959374  35640   2422.0
409 1739130260407994279 1739130260407958700  35579     61.0
410 1739130260408993498 1739130260408957837  35661     82.0
411 1739130260409991031 1739130260409956595  34436   1225.0
412 1739130260410994802 1739130260410959124  35678   1242.0
413 1739130260411993676 1739130260411958529  35147    531.0
414 1739130260412992580 1739130260412958119  34461    686.0
415 1739130260413997119 1739130260413960313  36806   2345.0
416 1739130260414995006 1739130260414962087  32919   3887.0
417 1739130260415998662 1739130260415962454  36208   3289.0
418 1739130260416997468 1739130260416966359  31109   5099.0
419 1739130260417993712 1739130260417959768  33944   2835.0
420 1739130260418995540 1739130260418960601  34939    995.0
421 1739130260419982016 1739130260419948565  33451   1488.0
422 1739130260420988197 1739130260420956753  31444   2007.0
423 1739130260421989875 1739130260421957003  32872   1428.0
424 1739130260422983010 1739130260422936627  46383  13511.0
425 1739130260423990523 1739130260423957317  33206  13177.0
426 1739130260424991956 1739130260424957666  34290   1084.0
427 1739130260425995773 1739130260425960874  34899    609.0
428 1739130260426993827 1739130260426957384  36443   1544.0
429 1739130260427997742 1739130260427961756  35986    457.0
430 1739130260428993274 1739130260428959756  33518   2468.0
431 1739130260429993908 1739130260429960410  33498     20.0
432 1739130260430992497 1739130260430959589  32908    590.0
433 1739130260431993421 1739130260431958923  34498   1590.0
434 1739130260432993695 1739130260432959219  34476     22.0
435 1739130260433992649 1739130260433958111  34538     62.0
436 1739130260434999701 1739130260434959369  40332   5794.0
437 1739130260435994003 1739130260435960668  33335   6997.0
438 1739130260436981724 1739130260436918017  63707  30372.0
439 1739130260437989981 1739130260437957163  32818  30889.0
440 1739130260438990157 1739130260438958128  32029    789.0
441 1739130260439993570 1739130260439959733  33837   1808.0
442 1739130260440987801 1739130260440955782  32019   1818.0
443 1739130260441995949 1739130260441957070  38879   6860.0
444 1739130260442993609 1739130260442956386  37223   1656.0
445 1739130260443990212 1739130260443958513  31699   5524.0
446 1739130260444992995 1739130260444960454  32541    842.0
447 1739130260445988112 1739130260445956498  31614    927.0
448 1739130260446991322 1739130260446959683  31639     25.0
449 1739130260447989084 1739130260447956887  32197    558.0
450 1739130260448990668 1739130260448959768  30900   1297.0
451 1739130260449989342 1739130260449957747  31595    695.0
452 1739130260451005090 1739130260450958999  46091  14496.0
453 1739130260451991914 1739130260451958964  32950  13141.0
454 1739130260452985891 1739130260452956063  29828   3122.0
455 1739130260453987289 1739130260453957438  29851     23.0
456 1739130260454988051 1739130260454956823  31228   1377.0
457 1739130260455998453 1739130260455958873  39580   8352.0
458 1739130260456990458 1739130260456958557  31901   7679.0
459 1739130260457993048 1739130260457961375  31673    228.0
460 1739130260458990829 1739130260458959547  31282    391.0
461 1739130260459991136 1739130260459959569  31567    285.0
462 1739130260460988114 1739130260460956148  31966    399.0
463 1739130260461984011 1739130260461922876  61135  29169.0
464 1739130260462996065 1739130260462960060  36005  25130.0
465 1739130260463994788 1739130260463959633  35155    850.0
466 1739130260464993722 1739130260464959477  34245    910.0
467 1739130260465990488 1739130260465957423  33065   1180.0
468 1739130260466995769 1739130260466960704  35065   2000.0
469 1739130260467990653 1739130260467958372  32281   2784.0
470 1739130260468990209 1739130260468958645  31564    717.0
471 1739130260469991153 1739130260469959716  31437    127.0
472 1739130260470993243 1739130260470959171  34072   2635.0
473 1739130260471988234 1739130260471957784  30450   3622.0
474 1739130260472981135 1739130260472944362  36773   6323.0
475 1739130260473991479 1739130260473958674  32805   3968.0
476 1739130260474991679 1739130260474957954  33725    920.0
477 1739130260475998443 1739130260475962320  36123   2398.0
478 1739130260476991695 1739130260476958906  32789   3334.0
479 1739130260477990337 1739130260477957902  32435    354.0
480 1739130260478988566 1739130260478956937  31629    806.0
481 1739130260479983761 1739130260479924481  59280  27651.0
482 1739130260480987575 1739130260480956688  30887  28393.0
483 1739130260481993042 1739130260481956784  36258   5371.0
484 1739130260482989800 1739130260482957910  31890   4368.0
485 1739130260483988290 1739130260483957729  30561   1329.0
486 1739130260484988666 1739130260484958736  29930    631.0
487 1739130260485987057 1739130260485956996  30061    131.0
488 1739130260486989503 1739130260486958899  30604    543.0
489 1739130260487990050 1739130260487958589  31461    857.0
490 1739130260488994936 1739130260488959059  35877   4416.0
491 1739130260489992445 1739130260489959911  32534   3343.0
492 1739130260490989976 1739130260490958690  31286   1248.0
493 1739130260491987086 1739130260491952442  34644   3358.0
494 1739130260492991191 1739130260492956570  34621     23.0
495 1739130260493999378 1739130260493966592  32786   1835.0
496 1739130260494989059 1739130260494956392  32667    119.0
497 1739130260495989973 1739130260495957343  32630     37.0
498 1739130260496992057 1739130260496960220  31837    793.0
499 1739130260497991231 1739130260497957677  33554   1717.0
500 1739130260498983520 1739130260498941295  42225   8671.0
501 1739130260499993654 1739130260499958710  34944   7281.0
502 1739130260500990052 1739130260500956386  33666   1278.0
503 1739130260501992217 1739130260501956167  36050   2384.0
504 1739130260502990402 1739130260502956823  33579   2471.0
505 1739130260503985010 1739130260503925816  59194  25615.0
506 1739130260504992679 1739130260504960893  31786  27408.0
507 1739130260505989182 1739130260505957148  32034    248.0
508 1739130260506989994 1739130260506957527  32467    433.0
509 1739130260507990539 1739130260507958988  31551    916.0
510 1739130260508992714 1739130260508959468  33246   1695.0
511 1739130260509989854 1739130260509959776  30078   3168.0
512 1739130260510992086 1739130260510959736  32350   2272.0
513 1739130260511993631 1739130260511961032  32599    249.0
514 1739130260512990044 1739130260512958348  31696    903.0
515 1739130260513989858 1739130260513957828  32030    334.0
516 1739130260514992931 1739130260514960094  32837    807.0
517 1739130260515989908 1739130260515958608  31300   1537.0
518 1739130260517003028 1739130260516970017  33011   1711.0
519 1739130260517996452 1739130260517962181  34271   1260.0
520 1739130260518992172 1739130260518957128  35044    773.0
521 1739130260519990831 1739130260519956292  34539    505.0
522 1739130260520990862 1739130260520957327  33535   1004.0
523 1739130260521994246 1739130260521960279  33967    432.0
524 1739130260522991989 1739130260522959239  32750   1217.0
525 1739130260523991802 1739130260523958935  32867    117.0
526 1739130260524989662 1739130260524956950  32712    155.0
527 1739130260525992603 1739130260525961871  30732   1980.0
528 1739130260526992507 1739130260526961659  30848    116.0
529 1739130260527990692 1739130260527959894  30798     50.0
530 1739130260528991374 1739130260528960818  30556    242.0
531 1739130260529990456 1739130260529959004  31452    896.0
532 1739130260530982567 1739130260530950208  32359    907.0
533 1739130260531988521 1739130260531957579  30942   1417.0
534 1739130260532987424 1739130260532956793  30631    311.0
535 1739130260533990978 1739130260533958100  32878   2247.0
536 1739130260534991486 1739130260534958237  33249    371.0
537 1739130260535989692 1739130260535957824  31868   1381.0
538 1739130260536990215 1739130260536958569  31646    222.0
539 1739130260537990543 1739130260537955952  34591   2945.0
540 1739130260538991332 1739130260538957705  33627    964.0
541 1739130260539990502 1739130260539957383  33119    508.0
542 1739130260540989628 1739130260540957278  32350    769.0
543 1739130260541990154 1739130260541957867  32287     63.0
544 1739130260542992682 1739130260542957475  35207   2920.0
545 1739130260543988842 1739130260543957539  31303   3904.0
546 1739130260544989428 1739130260544957479  31949    646.0
547 1739130260545993041 1739130260545957417  35624   3675.0
548 1739130260546989390 1739130260546957357  32033   3591.0
549 1739130260547988590 1739130260547955973  32617    584.0
